City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,zempoala,19.45,-96.4167,24.95,44,0,4.74,MX,1675538261
83,lompoc,34.6391,-120.4579,19.36,68,0,1.54,US,1675538261
84,eureka,40.8021,-124.1637,15.11,59,100,2.24,US,1675538150
85,trstenik,43.6169,21.0025,-0.77,92,100,7.13,RS,1675538262
86,pevek,69.7008,170.3133,-37.52,100,90,1.55,RU,1675538263
87,nusaybin,37.0778,41.2178,2.08,97,100,6.92,TR,1675538263
88,bambous virieux,-20.3428,57.7575,26.23,83,40,2.57,MU,1675538264
89,port elizabeth,-33.918,25.5701,24.06,90,0,2.06,ZA,1675538265
90,sweetwater,25.7634,-80.3731,24.44,77,100,9.83,US,1675538173
91,inuvik,68.3499,-133.7218,-33.52,68,20,2.06,CA,1675538265
92,vysokogornyy,50.1167,139.15,-26.67,100,100,0.86,RU,1675538266
93,chuy,-33.6971,-53.4616,24.57,54,0,7.36,UY,1675538266
94,college,64.8569,-147.8028,-12.03,78,75,1.54,US,1675538153
95,ribeira grande,38.5167,-28.7,17.22,88,40,3.13,PT,1675538266
96,saldanha,-33.0117,17.9442,19.03,96,82,6.92,ZA,1675538267
97,kurilsk,45.2333,147.8833,-6.64,79,100,5.23,RU,1675538267
98,castro,-24.7911,-50.0119,22.52,80,43,4.62,BR,1675538268
99,olinda,-8.0089,-34.8553,28.85,70,40,6.17,BR,1675537771
100,port hardy,50.6996,-127.4199,8.1,87,100,11.83,CA,1675538132
101,severo-kurilsk,50.6789,156.125,-3.49,73,100,2.99,RU,1675538268
102,bathsheba,13.2167,-59.5167,26.7,74,2,9.23,BB,1675538268
103,corum,40.5,34.75,-5.05,97,100,0.34,TR,1675538269
104,asfi,32.2994,-9.2372,14.55,69,1,3.05,MA,1675538269
105,dhupgari,26.5858,89.0145,15.83,58,2,1.01,IN,1675538269
106,buraydah,26.326,43.975,14.25,34,0,4.72,SA,1675538270
107,menongue,-14.6585,17.691,17.23,90,96,1.41,AO,1675538270
108,isangel,-19.55,169.2667,27.06,94,75,1.03,VU,1675538270
109,kindu,-2.95,25.95,22.97,84,61,1.5,CD,1675538271
110,bethel,41.3712,-73.414,-7.58,38,40,7.2,US,1675538203
111,cape town,-33.9258,18.4232,22.29,83,20,5.66,ZA,1675538271
112,vila franca do campo,37.7167,-25.4333,15.23,83,10,2.75,PT,1675538272
113,constantine,36.365,6.6147,4.67,81,20,2.57,DZ,1675538216
114,tiksi,71.6872,128.8694,-24.6,100,100,2.35,RU,1675538272
115,tabou,4.423,-7.3528,27.01,81,6,4.52,CI,1675538272
116,tarauaca,-8.1614,-70.7656,24.34,86,100,0.82,BR,1675538273
117,kuytun,54.3419,101.5036,-18.11,100,100,1.27,RU,1675538273
118,hobart,-42.8794,147.3294,13.92,69,100,6.69,AU,1675538104
119,ustikolina,43.5836,18.79,-1.24,88,100,4.4,BA,1675538274
120,jasrana,27.25,78.6833,14.82,48,0,3.49,IN,1675538274
121,mezen,65.8522,44.24,-18.17,100,76,2.1,RU,1675538274
122,muroto,33.2833,134.15,8.6,63,70,2.14,JP,1675538275
123,camacha,33.0833,-16.3333,14.68,63,40,7.2,PT,1675538275
124,dingle,10.9995,122.6711,23.52,94,100,4.19,PH,1675538275
125,sambava,-14.2667,50.1667,25.18,90,68,4.52,MG,1675538276
126,avarua,-21.2078,-159.775,28.03,78,40,6.69,CK,1675538276
127,da nang,16.0678,108.2208,23.99,88,100,1.54,VN,1675538276
128,kahului,20.8947,-156.47,22.95,92,75,8.75,US,1675538277
129,asosa,10.0667,34.5333,21.16,27,10,1.87,ET,1675538277
130,pedro ii,-4.4247,-41.4586,31.7,33,88,2.45,BR,1675538277
131,airai,-8.9266,125.4092,15.63,92,100,0.93,TL,1675538278
132,la union,-5.4,-80.75,32.77,36,100,6.76,PE,1675538278
133,morondava,-20.2833,44.2833,27.69,77,0,4.25,MG,1675538278
134,lavrentiya,65.5833,-171.0,-25.53,94,96,3.18,RU,1675538279
135,namatanai,-3.6667,152.4333,25.89,82,100,1.37,PG,1675538279
136,waddan,29.1614,16.139,13.37,37,37,4.98,LY,1675538279
137,joshimath,30.5667,79.5667,4.01,48,3,4.06,IN,1675538280
138,berbera,10.4396,45.0143,23.39,72,12,2.11,SO,1675538280
139,nome,64.5011,-165.4064,-12.96,78,100,2.57,US,1675538115
140,hailey,43.5196,-114.3153,-1.08,64,0,3.6,US,1675538239
141,clovis,36.8252,-119.7029,18.7,52,100,4.12,US,1675538135
142,sao joao da barra,-21.6403,-41.0511,32.05,78,5,5.79,BR,1675538281
143,praia,14.9215,-23.5087,23.3,49,32,10.29,CV,1675538281
144,deputatskiy,69.3,139.9,-34.22,99,100,1.73,RU,1675538281
145,arraial do cabo,-22.9661,-42.0278,32.98,62,0,7.2,BR,1675538282
146,ancud,-41.8697,-73.8203,21.33,64,12,2.68,CL,1675538282
147,pedasi,7.5333,-80.0333,27.88,71,12,8.51,PA,1675538283
148,kralendijk,12.15,-68.2667,26.99,69,40,8.23,BQ,1675538283
149,kavaratti,10.5669,72.642,27.48,66,100,2.79,IN,1675538284
150,anadyr,64.75,177.4833,-29.72,76,0,4.0,RU,1675538284
151,faanui,-16.4833,-151.75,27.35,72,82,7.12,PF,1675538286
152,eugene,44.0521,-123.0867,10.57,79,100,1.79,US,1675538201
153,illapel,-31.6308,-71.1653,28.59,44,1,4.29,CL,1675538172
154,comodoro rivadavia,-45.8667,-67.5,24.92,44,0,7.2,AR,1675538287
155,kapaa,22.0752,-159.319,22.18,93,100,2.06,US,1675538287
156,skovorodino,53.9833,123.9167,-31.46,100,89,0.68,RU,1675538288
157,codrington,-38.2667,141.9667,14.14,82,100,2.83,AU,1675538288
158,churapcha,62.0025,132.4325,-36.5,100,100,0.32,RU,1675538289
159,mount gambier,-37.8333,140.7667,13.35,84,100,1.57,AU,1675538289
160,sungairaya,0.7,108.9,24.13,91,100,1.54,ID,1675538290
161,clyde river,70.4692,-68.5914,-28.87,57,75,4.12,CA,1675538290
162,klaksvik,62.2266,-6.589,3.51,60,9,14.17,FO,1675538290
163,komsomolskiy,40.4272,71.7189,4.4,87,100,3.09,UZ,1675538291
164,banda aceh,5.5577,95.3222,25.06,84,94,0.91,ID,1675538291
165,prince rupert,54.3161,-130.3201,7.05,87,100,16.46,CA,1675538292
166,shingu,33.7333,135.9833,2.95,80,13,3.5,JP,1675538292
167,santa rosalia,27.3167,-112.2833,19.53,32,0,2.63,MX,1675538292
168,qaqortoq,60.7167,-46.0333,-3.67,89,100,14.48,GL,1675538293
169,jieshou,33.2634,115.3611,2.34,70,7,2.82,CN,1675538293
170,port lincoln,-34.7333,135.8667,14.87,81,29,1.8,AU,1675538294
